LGA_CODE16,CHD,Cereb,COPD,Heart,CA,AC
49399,NA,NA,NA,NA,NA,562.01335
50080,52.193484,33.799188,26.04348,10.890628,7.9035404,548.95085
50210,60.384924,26.368239,24.998844,9.2315166,NA,548.30785
50250,NA,NA,NA,NA,NA,308.50037
50280,44.782537,35.49115,NA,NA,NA,458.48606
50350,91.156518,23.861953,NA,NA,NA,558.01309
50420,82.290539,32.852549,16.177755,7.4515012,NA,570.66406
50490,68.238119,27.304363,28.088296,12.941944,NA,564.55561
50560,NA,NA,NA,NA,NA,506.05787
50630,NA,NA,NA,NA,NA,499.12743
50770,NA,NA,NA,NA,NA,521.66739
50840,77.432556,NA,NA,NA,NA,521.66739
50910,NA,NA,NA,NA,NA,685.96318
50980,76.60486,NA,NA,NA,NA,694.37845
51080,NA,NA,NA,NA,NA,557.47285
51120,NA,NA,NA,NA,NA,531.47314
51190,58.520164,25.521744,27.61259,16.583338,NA,593.22459
51260,56.397854,35.48895,22.467404,9.9974161,7.9502862,519.16544
51310,48.489818,31.03553,11.158511,NA,NA,399.97314
51330,57.878593,32.628839,16.160856,9.6492763,NA,508.37885
51400,NA,NA,NA,NA,NA,364.627
51470,NA,NA,NA,NA,NA,NA
51540,111.13411,NA,NA,NA,NA,652.37088
51610,NA,NA,NA,NA,NA,505.77269
51680,NA,NA,NA,NA,NA,383.96824
51750,73.193524,28.001447,NA,NA,NA,489.69203
51820,56.539739,26.724829,18.289338,9.8696637,NA,496.29811
51890,88.227444,51.049513,35.298571,NA,NA,734.20418
51960,NA,NA,NA,NA,NA,800.53449
52030,NA,NA,NA,NA,NA,591.50823
52100,NA,NA,NA,NA,NA,685.96318
52170,52.424748,NA,NA,NA,NA,425.70262
52240,NA,NA,NA,NA,NA,557.47285
52310,NA,NA,NA,NA,NA,469.76372
52380,NA,NA,NA,NA,NA,NA
52450,NA,NA,NA,NA,NA,767.82309
52520,NA,NA,NA,NA,NA,563.75775
52590,NA,NA,NA,NA,NA,430.97864
52660,51.689884,37.511815,NA,NA,NA,589.38921
52730,75.735417,NA,NA,NA,NA,479.97405
52800,89.256172,NA,NA,NA,NA,1108.4275
52870,NA,NA,NA,NA,NA,504.00115
52940,NA,NA,NA,NA,NA,NA
53010,NA,NA,NA,NA,NA,NA
53080,NA,NA,NA,NA,NA,NA
53150,58.979984,NA,NA,NA,NA,519.46899
53220,NA,NA,NA,NA,NA,399.94848
53290,79.290836,32.693134,NA,NA,NA,545.84346
53360,NA,NA,NA,NA,NA,454.50405
53430,58.110077,30.269666,14.746396,11.070167,9.6208587,562.91795
53570,NA,NA,NA,NA,NA,430.97864
53640,NA,NA,NA,NA,NA,NA
53710,NA,NA,NA,NA,NA,617.74531
53780,52.591159,19.875931,20.839056,8.3045265,NA,509.16003
53800,60.299906,27.780906,39.131454,11.890888,9.2330167,660.80345
53920,NA,NA,NA,NA,NA,2073.2262
53990,50.803021,19.700515,22.255462,NA,NA,459.01202
54060,NA,NA,NA,NA,NA,421.28539
54130,NA,NA,NA,NA,NA,NA
54170,47.718108,21.149615,16.584172,7.5962844,5.2693212,411.43875
54200,NA,NA,NA,NA,NA,NA
54280,82.732251,36.946758,54.429669,NA,NA,773.38
54310,68.907172,NA,NA,NA,NA,462.87378
54340,76.305611,NA,NA,NA,NA,612.91478
54410,NA,NA,NA,NA,NA,767.82309
54480,NA,NA,NA,NA,NA,NA
54550,NA,NA,NA,NA,NA,557.47285
54620,NA,NA,NA,NA,NA,NA
54690,NA,NA,NA,NA,NA,NA
54760,NA,NA,NA,NA,NA,NA
54830,71.392408,24.896684,28.64973,NA,NA,590.08198
54900,NA,NA,NA,NA,NA,465.44618
54970,NA,NA,NA,NA,NA,NA
55040,NA,NA,NA,NA,NA,NA
55110,49.420364,23.304962,24.954901,9.0989799,NA,547.94333
55180,71.225049,52.271411,30.903562,NA,NA,586.4739
55250,NA,NA,NA,NA,NA,NA
55320,37.730435,22.562149,10.92493,7.8463158,5.1339331,387.00773
55390,NA,NA,NA,NA,NA,NA
55460,NA,NA,NA,NA,NA,531.47314
55530,NA,NA,NA,NA,NA,NA
55600,NA,NA,NA,NA,NA,563.75775
55670,NA,NA,NA,NA,NA,NA
55740,56.06212,32.36472,NA,NA,NA,577.78207
55810,NA,NA,NA,NA,NA,NA
55880,NA,NA,NA,NA,NA,NA
55950,NA,NA,NA,NA,NA,NA
56090,47.80328,18.700231,17.359401,NA,NA,458.42234
56160,NA,NA,NA,NA,NA,NA
56230,43.734008,19.932107,24.833921,NA,NA,487.66856
56300,NA,NA,NA,NA,NA,475.55063
56370,NA,NA,NA,NA,NA,531.47314
56460,80.004151,NA,NA,NA,NA,716.64918
56580,33.407289,19.544889,NA,NA,NA,343.53162
56620,NA,NA,NA,NA,NA,NA
56730,91.413322,30.980813,NA,NA,NA,690.18414
56790,NA,NA,NA,NA,NA,549.5794
56860,NA,NA,NA,NA,NA,NA
56930,NA,NA,NA,NA,NA,577.78207
57000,NA,NA,NA,NA,NA,NA
57080,58.896196,25.944908,NA,NA,NA,494.4272
57140,NA,NA,NA,NA,NA,685.96318
57210,59.480091,NA,NA,NA,NA,578.90786
57280,120.87026,NA,NA,NA,NA,832.21054
57350,NA,NA,NA,NA,NA,767.82309
57420,NA,NA,NA,NA,NA,524.00191
57490,46.335448,22.147168,29.200399,9.0746389,NA,547.25541
57630,NA,NA,NA,NA,NA,NA
57700,44.449824,27.271831,NA,NA,NA,471.08176
57770,NA,NA,NA,NA,NA,NA
57840,58.272657,28.926158,18.501454,10.809455,8.9766488,560.96898
57910,56.290918,24.341344,12.170474,10.622649,5.4685584,464.59676
57980,67.552241,31.324587,NA,NA,NA,536.21499
58050,53.201837,19.443013,22.577753,7.7698331,NA,527.07928
58190,NA,NA,NA,NA,NA,767.82309
58260,NA,NA,NA,NA,NA,NA
58330,NA,NA,NA,NA,NA,533.85535
58400,NA,NA,NA,NA,NA,NA
58470,NA,NA,NA,NA,NA,NA
58510,66.833674,25.736512,24.585423,11.239857,NA,563.15119
58540,NA,NA,NA,NA,NA,563.75775
58570,64.525075,43.092362,19.858362,12.225231,NA,577.0411
58610,NA,NA,NA,NA,NA,469.76372
58680,NA,NA,NA,NA,NA,685.96318
58760,55.85024,24.691197,16.527091,7.9774215,NA,516.67363
58820,86.596356,NA,NA,NA,NA,672.83932
58890,NA,NA,NA,NA,NA,469.76372
59030,NA,NA,NA,NA,NA,NA
59100,NA,NA,NA,NA,NA,NA
59170,NA,NA,NA,NA,NA,469.76372
59250,NA,NA,NA,NA,NA,NA
59310,NA,NA,NA,NA,NA,617.74531
59320,NA,NA,NA,NA,NA,NA
59330,NA,NA,NA,NA,NA,NA
59340,94.863836,NA,NA,NA,NA,897.43882
